beat_id,num_alegations
1,190
2,2133
3,138
4,71
5,746
6,180
7,170
8,498
9,553
10,247
11,274
12,200
13,101
14,475
15,149
16,224
17,239
18,259
19,231
20,295
21,354
22,268
23,409
24,78
25,246
26,510
27,309
28,360
29,321
30,292
31,161
32,328
33,39
34,849
35,292
36,349
37,387
38,491
39,250
40,220
41,257
42,469
43,207
44,376
45,219
46,715
47,152
48,308
49,245
51,351
52,305
53,9
54,25
55,6
56,223
57,132
58,144
59,593
60,556
61,606
62,253
63,473
64,746
65,1068
66,676
67,763
68,785
69,436
70,388
71,521
72,577
73,587
74,58
75,55
76,44
77,811
78,669
79,621
80,331
81,518
82,148
83,305
84,291
85,297
86,465
87,345
88,563
89,88
90,888
91,242
92,169
93,703
94,762
95,592
96,301
97,524
98,821
99,248
100,303
101,363
102,538
103,499
104,290
105,462
106,365
107,342
108,67
109,296
110,295
111,266
112,567
113,423
114,326
115,275
116,283
117,370
118,339
119,560
120,533
121,512
122,397
123,637
124,58
125,586
126,765
127,279
128,506
129,480
130,449
131,190
132,2118
133,694
134,621
135,425
136,317
137,574
138,266
139,1285
140,751
141,317
142,299
143,593
144,550
145,730
146,462
147,501
148,373
149,51
150,90
151,737
152,465
153,588
154,327
155,522
156,284
157,441
158,229
159,346
160,1494
161,455
162,190
163,222
164,286
165,239
166,237
167,325
168,241
169,178
170,243
171,60
172,279
173,372
174,703
175,226
176,238
177,1450
178,252
179,202
180,171
181,236
182,264
183,141
184,263
185,261
186,371
187,423
188,403
189,449
190,549
191,181
192,516
193,454
194,657
195,525
196,1092
197,317
198,421
199,544
200,443
201,771
202,582
203,1570
204,702
205,617
206,332
207,447
208,418
209,558
210,415
211,361
212,565
213,468
214,632
215,440
216,583
217,426
218,526
219,578
220,401
221,593
222,877
223,652
224,750
225,530
226,1010
227,604
228,1763
229,720
230,708
231,703
232,707
233,658
234,283
235,510
236,517
237,1085
238,552
239,554
240,569
241,530
242,434
243,448
244,442
245,544
246,465
247,411
248,526
249,854
250,382
251,518
252,787
253,877
254,767
255,1128
256,464
257,588
258,516
260,501
261,1941
262,785
263,787
264,577
265,1565
266,459
267,416
268,707
269,1137
270,419
271,427
272,306
273,702
274,565
275,284
276,1218
277,618
,84154
