area_id,num_alleg,race
1551,364,""
1551,26,Asian/Pacific Islander
1551,4275,Black
1551,135,Hispanic
1551,8,Native American/Alaskan Native
1551,449,White
1550,261,""
1550,83,Asian/Pacific Islander
1550,2526,Black
1550,1378,Hispanic
1550,15,Native American/Alaskan Native
1550,906,White
1549,956,""
1549,93,Asian/Pacific Islander
1549,3027,Black
1549,400,Hispanic
1549,21,Native American/Alaskan Native
1549,1448,White
1548,292,""
1548,11,Asian/Pacific Islander
1548,2726,Black
1548,1184,Hispanic
1548,5,Native American/Alaskan Native
1548,262,White
1547,217,""
1547,13,Asian/Pacific Islander
1547,4100,Black
1547,126,Hispanic
1547,1,Native American/Alaskan Native
1547,216,White
1546,507,""
1546,32,Asian/Pacific Islander
1546,6721,Black
1546,412,Hispanic
1546,4,Native American/Alaskan Native
1546,417,White
1545,382,""
1545,63,Asian/Pacific Islander
1545,2035,Black
1545,811,Hispanic
1545,8,Native American/Alaskan Native
1545,868,White
1544,473,""
1544,91,Asian/Pacific Islander
1544,2189,Black
1544,337,Hispanic
1544,14,Native American/Alaskan Native
1544,1435,White
1543,421,""
1543,33,Asian/Pacific Islander
1543,3384,Black
1543,1527,Hispanic
1543,5,Native American/Alaskan Native
1543,1234,White
1542,298,""
1542,65,Asian/Pacific Islander
1542,396,Black
1542,650,Hispanic
1542,5,Native American/Alaskan Native
1542,1679,White
1541,283,""
1541,100,Asian/Pacific Islander
1541,1532,Black
1541,261,Hispanic
1541,9,Native American/Alaskan Native
1541,738,White
1540,244,""
1540,14,Asian/Pacific Islander
1540,4637,Black
1540,51,Hispanic
1540,1,Native American/Alaskan Native
1540,149,White
1539,245,""
1539,6,Asian/Pacific Islander
1539,3015,Black
1539,88,Hispanic
1539,2,Native American/Alaskan Native
1539,604,White
1538,2,Black
1537,379,""
1537,18,Asian/Pacific Islander
1537,6743,Black
1537,47,Hispanic
1537,4,Native American/Alaskan Native
1537,128,White
1536,320,""
1536,23,Asian/Pacific Islander
1536,4623,Black
1536,663,Hispanic
1536,274,White
1535,310,""
1535,22,Asian/Pacific Islander
1535,5207,Black
1535,47,Hispanic
1535,5,Native American/Alaskan Native
1535,142,White
1534,316,""
1534,27,Asian/Pacific Islander
1534,6186,Black
1534,101,Hispanic
1534,4,Native American/Alaskan Native
1534,137,White
1533,260,""
1533,24,Asian/Pacific Islander
1533,811,Black
1533,986,Hispanic
1533,2,Native American/Alaskan Native
1533,753,White
1532,302,""
1532,21,Asian/Pacific Islander
1532,2184,Black
1532,1625,Hispanic
1532,4,Native American/Alaskan Native
1532,720,White
1531,432,""
1531,91,Asian/Pacific Islander
1531,1621,Black
1531,585,Hispanic
1531,16,Native American/Alaskan Native
1531,1623,White
1530,4,""
1530,4,Hispanic
1530,19,White
1528,138,""
1528,69,Asian/Pacific Islander
1528,568,Black
1528,218,Hispanic
1528,8,Native American/Alaskan Native
1528,509,White
1527,177,""
1527,59,Asian/Pacific Islander
1527,378,Black
1527,651,Hispanic
1527,6,Native American/Alaskan Native
1527,718,White
1526,2,Black
1524,2,""
1524,12,Black
1522,5,Black
1521,1,Black
1520,1,Black
1519,2,Black
1519,1,White
1518,1,Black
1517,1,Asian/Pacific Islander
1517,12,Black
1517,2,Hispanic
1515,3,Black
1513,5,Black
1512,3,Black
1510,1,Asian/Pacific Islander
1510,3,Black
1509,2,Black
1508,2,""
1508,28,Black
1507,1,Black
1505,2,""
1505,1,Black
1505,1,White
1504,1,""
1504,5,Black
1503,6,Black
1502,2,Black
1502,2,Hispanic
1501,5,Black
1498,16,Black
1497,4,Black
1495,2,Black
1494,5,Hispanic
1492,1,Hispanic
1488,41,Black
1486,1,Black
1486,2,Hispanic
1483,2,Black
1481,2,Black
1480,2,Black
1476,1,""
1476,3,Black
1475,2,Black
1475,2,Hispanic
1475,1,White
1473,1,White
1471,1,White
1469,1,Black
1467,1,Black
1466,7,Black
1465,1,Black
1459,2,Hispanic
1457,3,Black
1456,2,Black
1455,4,Hispanic
1455,2,White
1449,4,Black
1448,7,""
1448,33,Black
1447,1,Black
1446,1,Black
1446,2,White
1445,2,Black
1445,1,White
1444,9,Black
1443,3,Black
1438,1,Black
1437,2,White
1435,12,Black
1429,3,Hispanic
1420,1,""
1420,1,White
1414,8,Black
1414,2,White
1411,2,Black
1411,1,White
1407,2,Black
1407,1,White
1404,2,Black
1402,1,Hispanic
1397,2,""
1388,2,""
1388,2,Black
1388,1,White
1386,2,Black
1384,2,White
1381,1,""
1381,1,Asian/Pacific Islander
1381,1,Black
1379,5,Black
1379,1,White
1376,2,Black
1376,2,Hispanic
1375,1,Black
