area_id,alleg_year,officer_race,count
1,1984,Black,3
1,1984,White,2
1,1985,Black,1
1,1987,Black,2
1,1987,Hispanic,1
1,1987,White,6
1,1989,Black,2
1,1989,Hispanic,2
1,1989,White,12
1,1990,Black,1
1,1990,White,9
1,1991,Black,4
1,1991,Hispanic,5
1,1991,White,24
1,1992,Asian/Pacific,1
1,1992,Black,2
1,1992,White,19
1,1993,Black,5
1,1993,Hispanic,1
1,1993,White,17
1,1994,Asian/Pacific,1
1,1994,Black,1
1,1994,Hispanic,5
1,1994,Native American/Alaskan Native,1
1,1994,White,21
1,1995,Asian/Pacific,1
1,1995,Black,2
1,1995,Hispanic,6
1,1995,White,20
1,1996,Asian/Pacific,1
1,1996,Black,1
1,1996,Hispanic,2
1,1996,Native American/Alaskan Native,2
1,1996,White,14
1,1997,Asian/Pacific,3
1,1997,Black,8
1,1997,Hispanic,6
1,1997,White,29
1,1998,Asian/Pacific,1
1,1998,Black,2
1,1998,Hispanic,4
1,1998,White,25
1,1999,Black,8
1,1999,Hispanic,4
1,1999,White,14
1,2000,Hispanic,5
1,2000,White,19
1,2001,Asian/Pacific,1
1,2001,Hispanic,8
1,2001,White,14
1,2002,Hispanic,3
1,2002,White,5
1,2003,Hispanic,3
1,2003,White,12
1,2004,Hispanic,1
1,2004,White,6
1,2006,Black,2
1,2006,White,5
1,2007,Asian/Pacific,2
1,2007,Hispanic,3
1,2007,White,7
1,2008,Asian/Pacific,1
1,2008,Hispanic,2
1,2008,Native American/Alaskan Native,1
1,2008,White,7
1,2009,Hispanic,3
1,2009,White,2
1,2010,Hispanic,1
1,2010,White,4
1,2011,Hispanic,3
1,2011,White,4
1,2012,Hispanic,1
1,2012,White,5
1,2014,Black,1
1,2014,Hispanic,3
1,2015,Hispanic,2
1,2016,Asian/Pacific,1
1,2016,Hispanic,1
1,2017,Hispanic,1
1,2017,White,1
2,1982,White,1
2,1987,White,2
2,1989,White,2
2,1990,White,1
2,1991,White,6
2,1992,White,8
2,1993,Black,1
2,1993,White,3
2,1994,Hispanic,3
2,1994,White,8
2,1995,White,5
