beat_id,num_alegations,race
228,1467,Black
132,1263,Black
261,1239,Black
203,1151,Black
265,1101,Black
226,1088,Black
249,840,Black
65,829,Black
237,826,Black
222,811,Black
254,773,Black
229,748,Black
2,732,Black
126,727,Black
145,726,Black
201,700,Black
230,695,Black
204,664,Black
94,657,Black
77,652,Black
93,651,Black
67,641,Black
232,641,Black
224,638,Black
263,630,Black
262,628,Black
64,619,Black
277,615,Black
233,608,Black
255,604,Black
212,604,Black
214,591,Black
202,589,Black
219,586,Black
2,582,White
227,580,Black
134,572,Black
133,569,Black
238,566,Black
79,565,Black
269,564,Black
221,557,Black
68,555,Black
216,553,Black
78,552,Black
276,542,Black
95,540,Black
273,536,Black
240,523,Black
137,522,Black
223,522,Black
144,517,Black
209,511,Black
88,502,Black
257,501,Black
274,500,Black
120,500,Black
264,491,Black
119,491,Black
125,490,Black
241,488,Black
251,486,Black
258,481,Black
218,477,Black
252,476,White
225,466,Black
253,463,Black
205,463,Black
177,459,Hispanic
196,459,Black
199,451,Black
143,449,Black
140,446,Black
66,445,Black
235,445,Black
146,440,Black
177,439,Black
193,436,Black
98,427,Black
239,427,Black
207,423,Black
244,421,Black
217,420,Black
243,418,Black
139,414,Black
192,413,Black
213,403,Black
215,400,Black
245,399,Black
123,396,White
121,395,Black
190,395,Black
81,393,Black
267,393,Black
247,392,Black
160,389,Black
69,384,Black
231,382,Black
200,382,Black
128,373,Black
242,370,Black
198,367,Black
97,366,Black
135,363,Black
256,363,Black
236,359,Black
195,354,Black
210,352,Black
112,346,Black
248,343,Black
208,339,Black
26,338,Black
270,334,Black
147,326,Black
151,321,Hispanic
211,306,Black
46,303,White
34,303,Black
80,303,Black
60,302,Black
151,298,Black
87,296,Black
220,295,Black
161,287,Black
159,286,Hispanic
272,282,Black
276,274,Hispanic
106,269,Black
113,266,Black
250,264,Black
117,263,Black
122,261,Hispanic
116,258,Black
177,256,White
111,255,Black
266,250,Black
260,246,Hispanic
5,238,Black
271,238,White
246,227,Hispanic
107,225,Black
44,225,White
73,224,Black
29,224,White
234,223,Black
157,223,Hispanic
9,222,White
196,219,White
123,219,Hispanic
194,218,White
275,217,Black
73,217,White
71,217,Black
255,217,White
90,216,Black
153,215,Hispanic
155,214,Hispanic
130,212,Black
63,211,Black
194,210,Black
86,208,Black
14,205,White
28,205,Black
110,203,Black
252,202,Black
22,200,White
100,199,Black
35,198,White
268,198,Hispanic
102,198,Black
34,197,White
2,196,""
167,195,Hispanic
268,194,White
158,194,Hispanic
118,193,Black
189,192,Black
42,190,White
153,187,Black
188,184,Hispanic
139,183,White
105,182,Black
173,181,Hispanic
174,180,Hispanic
23,178,Black
72,177,White
2,176,Hispanic
70,174,Black
114,172,Black
59,171,Hispanic
38,168,Black
23,168,White
72,165,Black
